Depth (km), Temperature (K)
1.600000000000000000e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.597328881469115061e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.594657762938230405e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.591986644407345466e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.589315525876460811e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.586644407345576155e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.583973288814691216e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.581302170283806277e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.578631051752921621e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.575959933222036682e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.573288814691151742e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.570617696160267087e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.567946577629382432e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.565275459098497493e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.562604340567612553e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.559933222036727898e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.557262103505842958e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.554590984974958019e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.551919866444073648e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.549248747913188708e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.546577629382303769e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.543906510851419114e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.541235392320534174e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.538564273789649235e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.535893155258764864e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.533222036727879924e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.530550918196994985e+02,1.573249997000000121e+03,1.573250002500000164e+03
